long,lat,fips
1253160.51751156,-1284731.63138935,01001
1177891.03815096,-1499005.79245499,01003
1380839.11068229,-1339020.43104228,01005
1201723.78588168,-1241467.93281509,01007
1237877.2706942,-1125155.71268839,01009
1346714.448021,-1318754.68298631,01011
1261625.89509366,-1371617.83179836,01013
1308890.88339693,-1136789.50989046,01015
1363171.62189996,-1224450.1513617,01017
1322200.97842533,-1089117.26337371,01019
1241632.35639775,-1251661.19745196,01021
1109141.64030641,-1363979.84292967,01023
1154167.98871219,-1395815.88939054,01025
1314230.05200446,-1192720.85467934,01027
1338486.13900236,-1142782.54220762,01029
1331984.84794472,-1399956.42722236,01031
1114945.78958866,-1063460.58376036,01033
1236946.36085198,-1411160.78431128,01035
1283646.50022573,-1235216.85461929,01037
1290862.76238214,-1423636.30833372,01039
1296178.23822551,-1368783.00699067,01041
1208142.48142771,-1113207.13964979,01043
1367018.9689058,-1390608.08244417,01045
1213095.56932894,-1314801.79830345,01047
1299190.13488108,-1061331.17382546,01049
1298650.90711202,-1270853.69260586,01051
1225720.73362572,-1447352.45136511,01053
1284932.25164036,-1110315.06655464,01055
1134676.36550678,-1170254.59512155,01057
1114877.3827545,-1092191.49446311,01059
1351215.55092911,-1431021.67150602,01061
1126706.2748755,-1268383.150801,01063
1158090.31117795,-1274451.44288404,01065
1400256.19352461,-1375779.3989429,01067
1400843.79737108,-1416078.75350848,01069
1276724.52684826,-1028836.99151052,01071
1214514.80753044,-1176762.03615102,01073
1101011.52207213,-1168465.27640533,01075
1125158.98971192,-1039158.67480861,01077
1162075.02602808,-1076489.71714547,01079
1372032.65775155,-1258030.66163915,01081
1187319.78013689,-1039870.99147754,01083
1258223.17158664,-1326544.4264037,01085
1343910.24193113,-1286930.38507502,01087
1227126.17486015,-1039049.97196687,01089
1150813.65810622,-1332895.24297559,01091
1115206.53928012,-1126406.76712493,01093
1255664.84057112,-1078687.0734509,01095
1130817.13241888,-1499243.11148767,01097
1199518.92985098,-1401892.1225234,01099
1298495.40275416,-1313258.16460506,01101
1204437.2972939,-1077282.52117028,01103
1190923.31557649,-1283009.164155,01105
1108668.52962028,-1223255.67001233,01107
1330144.07014282,-1354832.05234909,01109
1350670.09138792,-1183641.60092795,01111
1392790.20230488,-1289796.26200742,01113
1265567.36282907,-1150268.73517021,01115
1240297.60214756,-1204906.3658012,01117
1107774.80703351,-1300570.86523984,01119
1283940.36164738,-1185577.22082308,01121
1326333.64126008,-1236019.15317708,01123
1160502.89601768,-1215061.32439865,01125
1173697.21749618,-1155277.07286801,01127
1122789.07789084,-1430581.44866153,01129
1199300.58824476,-1354843.46728765,01131
1161886.25794151,-1118039.5538209,01133
-1428031.76249256,-2360231.52523762,02013
-1556035.96371311,-2442741.48172195,02016
-1144748.05903456,-2047941.69696137,02020
-1376108.26297183,-2078257.89147652,02050
-1304652.84908937,-2189112.43678614,02060
-1181364.51660038,-1925159.7173208,02068
-1343396.30293344,-2137107.64320466,02070
-1120793.749817,-1856322.29408693,02090
-812442.101117447,-2056663.44884625,02100
-821927.267823293,-2090661.10891751,02105
-772044.755925867,-2073649.49988303,02110
-1163304.25319811,-2102161.69726698,02122
-639918.654800304,-2168829.27283898,02130
-1217718.12666469,-2240533.03855999,02150
-1457690.54189772,-2014705.14772179,02158
-1294480.69657121,-2197034.76962395,02164
-1163153.41936066,-1991659.66966515,02170
-1448787.61832772,-1867343.98939808,02180
-1266972.33038147,-1645097.01962911,02185
-1375030.69431737,-1767570.66141301,02188
-720241.764284596,-2113345.71164404,02195
-685021.370394825,-2195912.67630431,02198
-776054.746985323,-2140900.0636952,02220
-817623.678736624,-2034000.87938022,02230
-1045056.07622272,-1886626.06877869,02240
-1051002.82946011,-2011681.5267517,02261
-681009.132620847,-2147816.88935866,02275
-934408.699589457,-2059428.66920739,02282
-1225973.05069488,-1839157.08763773,02290
-860941.191034546,-1019646.40452138,04001
-924383.253198973,-1403175.53098683,04003
-1059984.49881566,-943757.804417774,04005
-1000441.23333027,-1179558.45899498,04007
-925434.974772096,-1285855.98037977,04009
-862098.520640921,-1261533.72172571,04011
-1292160.33856978,-1144839.8865515,04012
-1161367.26959763,-1208098.65455282,04013
-1239943.46721797,-931643.771454957,04015
-935900.925647863,-1009989.46319327,04017
-1113128.50454319,-1354734.64489092,04019
-1061182.30251812,-1271731.59939771,04021
-1031997.46146044,-1429655.77525817,04023
-1148467.43639806,-1069711.89493351,04025
-1300596.61730637,-1251316.71312409,04027
794369.972219226,-1148633.90804292,05001
768454.154780144,-1273627.20477293,05003
687575.128832979,-936514.314800655,05005
515405.099758752,-944822.199888858,05007
619763.040757562,-940093.585239827,05009
729677.508521814,-1246626.3732758,05011
697376.965293286,-1239709.61253018,05013
579337.906448735,-939754.230426928,05015
811849.499366198,-1261214.0890128,05017
630906.873010594,-1190840.03670795,05019
858383.980144071,-909908.948254214,05021
722605.333697915,-1016717.71068682,05023
723414.35024608,-1199397.5492575,05025
632680.417266119,-1283316.60198726,05027
663706.103832839,-1052859.47574294,05029
845071.238234577,-971507.118179601,05031
521679.878734032,-1027472.21790095,05033
881309.21695856,-1036454.73160307,05035
838450.075133124,-1031873.01170429,05037
679754.55507637,-1195160.57364962,05039
809845.430116244,-1198439.80492094,05041
769483.948493916,-1229161.75795449,05043
698114.249132409,-1062608.56215683,05045
554047.024028526,-1033797.65002718,05047
733174.189514206,-921691.323606787,05049
628981.092606097,-1131980.70670322,05051
697982.642559479,-1157998.88554908,05053
848451.242479641,-939075.907780902,05055
587592.108016644,-1228955.49558572,05057
648998.316358612,-1159215.27624729,05059
555092.883773245,-1191708.1008075,05061
761743.475362179,-990187.999423433,05063
727836.259926664,-954088.72579381,05065
795200.236774976,-1002878.30374183,05067
743823.882212115,-1156256.24654482,05069
592783.697681979,-1024692.00637271,05071
597016.76274193,-1282879.91128319,05073
800046.709729089,-952819.532364657,05075
842967.293000568,-1088417.98873963,05077
763936.26640803,-1189327.11590981,05079
535433.409045378,-1235922.66137178,05081
571973.010316936,-1065562.65319474,05083
742743.29453778,-1102242.63409654,05085
565490.969471642,-977535.724320238,05087
656737.511411152,-941416.837456819,05089
569854.541434819,-1276793.53573631,05091
897932.555573027,-973021.939545055,05093
805673.406952089,-1104000.84185243,05095
582651.342903684,-1140024.66999739,05097
621751.358884264,-1234095.89494616,05099
611996.543955515,-984017.709056798,05101
662041.410066786,-1239142.76076857,05103
644689.148470572,-1089637.29048909,05105
840912.149682822,-1127983.22361464,05107
585486.838750477,-1181425.51967677,05109
845221.325321987,-1000061.53787445,05111
530835.66987291,-1149793.07712475,05113
632484.123943171,-1034756.42003508,05115
772530.819873769,-1090146.11648025,05117
703715.246664878,-1104024.01208183,05119
804328.78686039,-918906.019990265,05121
843595.408262973,-1061895.0328243,05123
671715.104367491,-1120365.09847025,05125
543284.584580744,-1107446.90386717,05127
658552.700879862,-981064.63086683,05129
521929.69125343,-1071158.18251635,05131
532737.336278893,-1203483.37276522,05133
765681.805043508,-942943.546264326,05135
707785.008678235,-982022.553888274,05137
691638.231193938,-1283202.51794388,05139
678290.703743855,-1016075.663796,05141
521397.295471391,-984409.331262896,05143
750407.00448484,-1045437.87965377,05145
796877.251685102,-1048322.22911775,05147
601591.938614629,-1086803.69788568,05149
-1904228.77404764,-565103.464685048,06001
-1705193.47788802,-506876.240980016,06003
-1779118.91979206,-505680.804972984,06005
-1824905.61413572,-352388.70462813,06007
-1776551.79032388,-534118.109984684,06009
-1890472.91829117,-391040.047812908,06011
-1899889.54638187,-534648.306642993,06013
-1948674.3806704,-74796.7549462181,06015
-1759313.41526042,-472226.883220146,06017
-1735365.99273066,-710858.551707071,06019
-1891826.39721761,-341789.318590924,06021
-1979351.04291867,-188017.978978067,06023
-1430707.01417309,-1198164.17513546,06025
-1546118.33915901,-781933.70156728,06027
-1687381.67620356,-883944.254446526,06029
-1766084.93758648,-781933.164722892,06031
-1935544.55253231,-387429.614254882,06033
-1715492.38223884,-264895.790277771,06035
-1663651.08941409,-1001819.28573078,06037
-1734513.4411587,-658579.209247566,06039
-1962131.99810126,-499703.912355058,06041
-1737504.25392204,-615912.021428363,06043
-1978091.25878843,-335878.234107971,06045
-1816693.38948684,-641032.753413053,06047
-1701555.28789402,-162421.801018643,06049
-1641765.88270532,-597556.137220407,06051
-1885935.53958155,-735085.566196769,06053
-1917510.31034458,-461573.560824339,06055
-1765616.1482552,-410047.44762749,06057
